,Date,Team,Time,Opponent,Rank,Site,TV,Result,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,Year,Month,Day,W/L,Score,Home Score,Away Score,Total Score,"City, State",lat,lng
0,9/6/2014,Boise State,8:15 PM,Colorado State,NR,"Albertsons StadiumBoise, ID",ESPN2,W 37-24,34910,0,1,36387,0.95940858,True,False,0.0,0.0,0.0,89,55,NR,MWC,2014,9,6,W,37-24,37,24,61,"Boise, ID",43.6150186,-116.2023137
1,9/20/2014,Boise State,8:30 PM,Louisiana-Lafayette*,NR,"Albertsons StadiumBoise, ID",CBSSN,W 34-9,33337,2,1,36387,0.916178855,True,False,0.0,0.0,0.0,88,54,NR,MWC,2014,9,20,W,34-9,34,9,43,"Boise, ID",43.6150186,-116.2023137
2,10/17/2014,Boise State,6:00 PM,Fresno State,NR,"Albertsons StadiumBoise, ID",ESPN,W 37-27,35008,4,2,36387,0.96210185,True,False,0.0,0.0,0.0,70,45,NR,MWC,2014,10,17,W,37-27,37,27,64,"Boise, ID",43.6150186,-116.2023137
3,10/24/2014,Boise State,7:00 PM,BYU*,NR,"Albertsons StadiumBoise, ID",ESPN,W 55-30,36752,5,2,36387,1.010031055,True,False,0.03,0.0,0.0,67,48,NR,MWC,2014,10,24,W,55-30,55,30,85,"Boise, ID",43.6150186,-116.2023137
4,11/15/2014,Boise State,8:15 PM,San Diego State,NR,"Albertsons StadiumBoise, ID",ESPNU,W 38-29,27478,7,2,36387,0.75515981,True,False,0.0,0.0,7.1,22,1,NR,MWC,2014,11,15,W,38-29,38,29,67,"Boise, ID",43.6150186,-116.2023137
5,11/29/2014,Boise State,8:15 PM,Utah State,25,"Albertsons StadiumBoise, ID",ESPN2,W 50-19,33940,9,2,36387,0.932750708,True,False,0.0,0.0,0.0,55,29,NR,MWC,2014,11,29,W,50-19,50,19,69,"Boise, ID",43.6150186,-116.2023137
6,12/6/2014,Boise State,8:00 PM,Fresno State,22,"Albertsons StadiumBoise, ID",CBS,W 28-14,26101,10,2,36387,0.717316624,True,False,0.06,0.0,0.0,54,34,NR,MWC,2014,12,6,W,28-14,28,14,42,"Boise, ID",43.6150186,-116.2023137
7,9/4/2015,Boise State,8:15 PM,Washington*,23,"Albertsons StadiumBoise, ID",ESPN,W 16-13,36836,0,0,36387,1.012339572,False,False,0.0,0.0,0.0,74,49,NR,MWC,2015,9,4,W,16-13,16,13,29,"Boise, ID",43.6150186,-116.2023137
8,10/3/2015,Boise State,8:15 PM,Hawaii,NR,"Albertsons StadiumBoise, ID",ESPN2,W 55-0,35907,3,1,36387,0.986808476,False,False,0.0,0.0,0.0,68,48,NR,MWC,2015,10,3,W,55-0,55,0,55,"Boise, ID",43.6150186,-116.2023137
9,10/24/2015,Boise State,8:15 PM,Wyoming,NR,"Albertsons StadiumBoise, ID",ESPN2,W 34-14,31946,5,2,36387,0.877950917,False,False,0.0,0.0,0.0,66,46,NR,MWC,2015,10,24,W,34-14,34,14,48,"Boise, ID",43.6150186,-116.2023137
